,addr,rssi
0,44:81:ce:a5:ef:52,-79
1,24:de:58:f3:f0:08,-78
2,2e:f4:30:1e:23:7f,-64
3,6d:c7:6a:b3:83:12,-65
4,7f:05:51:59:38:9b,-73
5,f9:fe:c1:9a:00:26,-79
6,75:9d:11:fa:32:83,-79
7,da:69:55:b4:b2:ea,-79
8,6f:74:99:dc:d5:ba,-79
9,1b:a8:7a:79:c3:90,-79
10,ec:d5:34:e1:dc:0b,-79
11,6b:ad:7c:43:c4:11,-79
12,53:07:3f:0a:75:c3,-79
13,26:e9:42:71:29:2b,-79
14,7e:6b:5d:09:7c:be,-79
15,0f:5a:48:b4:c6:f3,-79
16,00:a0:50:10:32:d4,-79
17,4e:e7:ff:98:a5:89,-79
18,4e:92:d0:d1:cb:5b,-79
19,7a:d9:8f:61:87:18,-79
20,66:20:52:01:a4:b4,-79
21,3a:19:2f:9b:59:9a,-78
22,48:f1:97:9c:61:c8,-79
